filename,width,height,class,xmin,ymin,xmax,ymax
1260.jpg,320,240,fire,206,65,320,127
pic1700.jpg,320,240,fire,124,59,253,206
165.jpg,320,240,fire,138,74,265,163
1869.jpg,320,240,fire,120,75,228,169
1887.jpg,320,240,fire,116,83,215,167
tes126.jpg,320,240,fire,56,57,227,178
2044.jpg,320,240,fire,1,134,21,181
2044.jpg,320,240,fire,149,122,171,207
157.jpg,320,240,fire,148,72,269,163
157.jpg,320,240,fire,272,131,316,162
3326.jpg,320,240,fire,81,94,194,182
3274.jpg,320,240,fire,165,127,195,142
3274.jpg,320,240,fire,67,133,116,176
3274.jpg,320,240,fire,14,165,47,189
2981.jpg,320,240,fire,194,171,250,211
2981.jpg,320,240,fire,110,128,144,162
2981.jpg,320,240,fire,82,92,115,135
2981.jpg,320,240,fire,60,72,85,99
2981.jpg,320,240,fire,95,47,218,78
2749.jpg,320,240,fire,167,186,192,200
2749.jpg,320,240,fire,62,126,82,142
2575.jpg,320,240,fire,74,129,129,194
2575.jpg,320,240,fire,145,95,166,147
2575.jpg,320,240,fire,182,117,207,143
2575.jpg,320,240,fire,199,73,212,111
348.jpg,320,240,fire,115,30,207,159
1437.jpg,320,240,fire,165,45,209,187
2073.jpg,320,240,fire,20,151,46,172
2940.jpg,320,240,fire,75,30,218,117
2940.jpg,320,240,fire,1,33,70,57
2940.jpg,320,240,fire,108,127,123,150
1184.jpg,320,240,fire,68,109,164,185
1184.jpg,320,240,fire,242,130,308,186
2915.jpg,320,240,fire,95,61,175,91
2915.jpg,320,240,fire,181,89,207,126
2915.jpg,320,240,fire,201,108,229,158
2915.jpg,320,240,fire,220,156,251,190
2915.jpg,320,240,fire,237,188,257,210
2682.jpg,320,240,fire,85,144,158,204
2682.jpg,320,240,fire,165,89,193,129
2335.jpg,320,240,fire,24,49,91,79
2335.jpg,320,240,fire,101,114,115,137
2335.jpg,320,240,fire,204,53,213,67
2335.jpg,320,240,fire,209,97,226,118
2335.jpg,320,240,fire,219,139,228,161
testpic136.jpg,640,360,fire,1,132,281,191
3108.jpg,320,240,fire,195,118,237,203
3108.jpg,320,240,fire,236,181,297,209
3108.jpg,320,240,fire,133,89,164,141
3108.jpg,320,240,fire,172,135,192,154
3108.jpg,320,240,fire,159,166,182,187
2289.jpg,320,240,fire,231,136,269,202
2289.jpg,320,240,fire,186,120,237,160
2289.jpg,320,240,fire,152,76,171,118
2289.jpg,320,240,fire,66,83,100,146
2289.jpg,320,240,fire,1,41,65,64
2632.jpg,320,240,fire,96,65,210,196
347.jpg,320,240,fire,112,30,208,160
testpic121.jpg,640,360,fire,1,131,281,193
1011.jpg,320,240,fire,124,108,196,165
3146.jpg,320,240,fire,105,112,151,180
3146.jpg,320,240,fire,97,152,114,168
3146.jpg,320,240,fire,58,114,96,161
3146.jpg,320,240,fire,34,133,57,153
3146.jpg,320,240,fire,1,122,28,157
1257.jpg,320,240,fire,191,51,318,128
testpic210.jpg,320,240,fire,129,88,193,163
testpic210.jpg,320,240,fire,45,135,79,163
2925.jpg,320,240,fire,89,45,181,82
2925.jpg,320,240,fire,176,86,199,124
2925.jpg,320,240,fire,196,84,245,151
2925.jpg,320,240,fire,233,170,261,210
2925.jpg,320,240,fire,214,120,263,180
1039.jpg,320,240,fire,35,117,320,193
1727.jpg,320,240,fire,116,31,278,193
125.jpg,320,240,fire,70,30,270,148
1442.jpg,320,240,fire,182,43,226,179
1076.jpg,320,240,fire,90,91,254,153
1867.jpg,320,240,fire,119,71,224,169
114.jpg,320,240,fire,96,35,259,156
2387.jpg,320,240,fire,35,44,57,70
2387.jpg,320,240,fire,66,56,115,92
2387.jpg,320,240,fire,103,98,128,131
2387.jpg,320,240,fire,297,128,320,209
1723.jpg,320,240,fire,106,34,252,187
2799.jpg,320,240,fire,1,30,196,147
2799.jpg,320,240,fire,105,168,123,186
2358.jpg,320,240,fire,72,66,109,97
2358.jpg,320,240,fire,109,100,134,132
2358.jpg,320,240,fire,192,102,210,138
2358.jpg,320,240,fire,310,193,320,208
1673.jpg,320,240,fire,152,43,228,186
3189.jpg,320,240,fire,222,172,264,210
3189.jpg,320,240,fire,188,144,211,171
3189.jpg,320,240,fire,161,162,178,188
3189.jpg,320,240,fire,164,135,178,152
3189.jpg,320,240,fire,140,105,152,121
3189.jpg,320,240,fire,125,93,140,113
3189.jpg,320,240,fire,104,85,116,96
2138.jpg,320,240,fire,210,191,256,209
2138.jpg,320,240,fire,148,120,190,170
2138.jpg,320,240,fire,72,73,96,124
2138.jpg,320,240,fire,28,58,47,73
2838.jpg,320,240,fire,144,43,261,203
2838.jpg,320,240,fire,96,52,147,95
1841.jpg,320,240,fire,122,89,240,189
2017.jpg,320,240,fire,20,146,48,167
2017.jpg,320,240,fire,169,191,188,208
2017.jpg,320,240,fire,223,178,231,197
2017.jpg,320,240,fire,154,169,160,183
2017.jpg,320,240,fire,209,152,215,160
3172.jpg,320,240,fire,286,194,309,210
3172.jpg,320,240,fire,232,143,268,210
3172.jpg,320,240,fire,166,128,182,153
3172.jpg,320,240,fire,125,160,166,196
3172.jpg,320,240,fire,129,102,161,127
2961.jpg,320,240,fire,53,33,216,96
2961.jpg,320,240,fire,172,134,196,151
158.jpg,320,240,fire,153,77,271,130
158.jpg,320,240,fire,152,117,244,162
158.jpg,320,240,fire,265,133,312,159
2166.jpg,320,240,fire,216,157,236,189
2166.jpg,320,240,fire,158,121,186,157
2166.jpg,320,240,fire,93,89,117,115
2166.jpg,320,240,fire,65,78,75,86
3316.jpg,320,240,fire,149,86,207,109
